impl	class	window	precision	recall	f1	n_call	n_truth
vardictcpp	all	47	0.9683	0.9385	0.9531	63	65
vardictcpp	snv	47	1.0000	1.0000	1.0000	52	52
vardictcpp	indel	47	0.8182	0.6923	0.7500	11	13
vardictcpp	all	48	0.9762	0.9545	0.9652	42	44
vardictcpp	snv	48	1.0000	1.0000	1.0000	36	38
vardictcpp	indel	48	0.8333	0.6667	0.7407	6	6
vardictcpp	all	49	0.9444	0.9444	0.9444	18	18
vardictcpp	snv	49	1.0000	1.0000	1.0000	16	16
vardictcpp	all	50	0.9672	0.9516	0.9593	61	62
vardictcpp	snv	50	1.0000	1.0000	1.0000	52	52
vardictcpp	indel	50	0.7778	0.7000	0.7368	9	10
vardictcpp	all	52	1.0000	0.7857	0.8800	11	14
vardictcpp	snv	52	1.0000	1.0000	1.0000	10	10
vardictcpp	all	54	1.0000	1.0000	1.0000	14	14
vardictcpp	snv	54	1.0000	1.0000	1.0000	14	14
vardictcpp	all	55	1.0000	1.0000	1.0000	21	21
vardictcpp	snv	55	1.0000	1.0000	1.0000	20	20
vardictcpp	all	56	0.9756	0.9524	0.9639	41	42
vardictcpp	snv	56	0.9737	0.9737	0.9737	38	38
vardictcpp	all	57	0.9773	0.9773	0.9773	44	44
vardictcpp	snv	57	0.9767	1.0000	0.9882	43	42
vardictcpp	all	58	0.9286	1.0000	0.9630	14	14
vardictcpp	snv	58	0.9167	1.0000	0.9565	12	13
vardictcpp	all	59	1.0000	0.8889	0.9412	8	9
vardictcpp	snv	59	1.0000	1.0000	1.0000	7	7
vardictcpp	all	60	0.9916	0.9833	0.9874	119	120
vardictcpp	snv	60	1.0000	1.0000	1.0000	113	113
vardictcpp	indel	60	0.8333	0.7143	0.7692	6	7
vardictcpp	all	61	0.9811	0.9576	0.9692	159	165
vardictcpp	snv	61	0.9931	0.9608	0.9767	144	153
vardictcpp	indel	61	0.8667	0.9167	0.8910	15	12
vardictcpp	all	62	0.9855	0.9720	0.9787	138	143
vardictcpp	snv	62	0.9923	0.9926	0.9925	130	136
vardictcpp	indel	62	0.8750	0.5714	0.6914	8	7
VarDictJava	all	0	1.0000	1.0000	1.0000	75	76
VarDictJava	snv	0	1.0000	1.0000	1.0000	64	66
VarDictJava	indel	0	1.0000	1.0000	1.0000	11	10
VarDictJava	all	1	1.0000	1.0000	1.0000	42	42
VarDictJava	snv	1	1.0000	1.0000	1.0000	42	42
VarDictJava	all	2	0.9773	0.9247	0.9503	88	93
VarDictJava	snv	2	0.9877	0.9756	0.9816	81	82
VarDictJava	indel	2	0.8571	0.5455	0.6667	7	11
VarDictJava	all	3	0.9576	0.9583	0.9580	118	120
VarDictJava	snv	3	0.9905	0.9908	0.9907	105	109
VarDictJava	indel	3	0.6923	0.6364	0.6632	13	11
VarDictJava	all	4	1.0000	0.9737	0.9867	37	38
VarDictJava	snv	4	1.0000	0.9706	0.9851	33	34
VarDictJava	all	5	1.0000	0.9286	0.9630	38	42
VarDictJava	snv	5	1.0000	0.9737	0.9867	35	38
VarDictJava	all	6	1.0000	1.0000	1.0000	18	18
VarDictJava	snv	6	1.0000	1.0000	1.0000	18	18
VarDictJava	all	7	1.0000	1.0000	1.0000	6	6
VarDictJava	snv	7	1.0000	1.0000	1.0000	6	6
VarDictJava	all	8	1.0000	1.0000	1.0000	21	21
VarDictJava	snv	8	1.0000	1.0000	1.0000	21	21
VarDictJava	all	9	1.0000	1.0000	1.0000	16	16
VarDictJava	snv	9	1.0000	1.0000	1.0000	14	14
VarDictJava	all	10	1.0000	0.9200	0.9583	22	25
VarDictJava	snv	10	1.0000	1.0000	1.0000	18	20
VarDictJava	all	13	0.9655	0.9655	0.9655	29	29
VarDictJava	snv	13	1.0000	1.0000	1.0000	28	28
VarDictJava	all	15	1.0000	1.0000	1.0000	6	6
VarDictJava	snv	15	1.0000	1.0000	1.0000	6	6
VarDictJava	all	16	1.0000	0.9655	0.9825	28	29
VarDictJava	snv	16	1.0000	1.0000	1.0000	27	27
VarDictJava	all	17	1.0000	1.0000	1.0000	45	45
VarDictJava	snv	17	1.0000	1.0000	1.0000	43	43
VarDictJava	all	18	0.9231	0.9231	0.9231	65	65
VarDictJava	snv	18	1.0000	0.9649	0.9821	55	57
VarDictJava	indel	18	0.5000	0.6250	0.5556	10	8
VarDictJava	all	19	0.9286	0.8667	0.8966	14	15
VarDictJava	snv	19	1.0000	1.0000	1.0000	10	10
VarDictJava	all	20	1.0000	1.0000	1.0000	34	34
VarDictJava	snv	20	1.0000	1.0000	1.0000	27	27
VarDictJava	indel	20	1.0000	1.0000	1.0000	7	7
VarDictJava	all	21	0.8889	0.8889	0.8889	18	18
VarDictJava	snv	21	1.0000	1.0000	1.0000	12	12
VarDictJava	indel	21	0.6667	0.6667	0.6667	6	6
VarDictJava	all	23	1.0000	0.9365	0.9672	56	63
VarDictJava	snv	23	1.0000	0.9492	0.9739	51	59
VarDictJava	all	24	1.0000	1.0000	1.0000	11	11
VarDictJava	snv	24	1.0000	1.0000	1.0000	9	9
VarDictJava	all	25	1.0000	0.9825	0.9912	56	57
VarDictJava	snv	25	1.0000	0.9800	0.9899	49	50
VarDictJava	indel	25	1.0000	1.0000	1.0000	7	7
VarDictJava	all	29	1.0000	1.0000	1.0000	17	17
VarDictJava	snv	29	1.0000	1.0000	1.0000	17	17
VarDictJava	all	30	1.0000	1.0000	1.0000	52	52
VarDictJava	snv	30	1.0000	1.0000	1.0000	49	49
VarDictJava	all	31	0.9915	0.9915	0.9915	117	118
VarDictJava	snv	31	1.0000	1.0000	1.0000	110	112
VarDictJava	indel	31	0.8571	0.8333	0.8451	7	6
VarDictJava	all	32	1.0000	1.0000	1.0000	9	9
VarDictJava	snv	32	1.0000	1.0000	1.0000	8	8
VarDictJava	all	33	0.9880	0.9647	0.9762	83	85
VarDictJava	snv	33	1.0000	1.0000	1.0000	74	74
VarDictJava	indel	33	0.8889	0.7273	0.8000	9	11
VarDictJava	all	34	1.0000	0.9773	0.9885	43	44
VarDictJava	snv	34	1.0000	0.9744	0.9870	38	39
VarDictJava	indel	34	1.0000	1.0000	1.0000	5	5
VarDictJava	all	35	1.0000	1.0000	1.0000	49	49
VarDictJava	snv	35	1.0000	1.0000	1.0000	44	44
VarDictJava	indel	35	1.0000	1.0000	1.0000	5	5
VarDictJava	all	36	1.0000	1.0000	1.0000	57	57
VarDictJava	snv	36	1.0000	1.0000	1.0000	55	55
VarDictJava	all	37	0.9677	0.9375	0.9524	31	32
VarDictJava	snv	37	1.0000	1.0000	1.0000	26	26
VarDictJava	indel	37	0.8000	0.6667	0.7273	5	6
VarDictJava	all	39	1.0000	1.0000	1.0000	17	17
VarDictJava	snv	39	1.0000	1.0000	1.0000	16	16
VarDictJava	all	40	1.0000	1.0000	1.0000	20	20
VarDictJava	snv	40	1.0000	1.0000	1.0000	20	20
VarDictJava	all	42	0.9767	0.9767	0.9767	43	43
VarDictJava	snv	42	1.0000	1.0000	1.0000	41	41
VarDictJava	all	43	0.9833	0.9836	0.9835	60	61
VarDictJava	snv	43	1.0000	1.0000	1.0000	55	55
VarDictJava	indel	43	0.8000	0.8333	0.8163	5	6
VarDictJava	all	44	0.9852	0.9571	0.9710	135	140
VarDictJava	snv	44	0.9833	0.9836	0.9835	120	122
VarDictJava	indel	44	1.0000	0.7778	0.8750	15	18
VarDictJava	all	45	1.0000	1.0000	1.0000	21	21
VarDictJava	snv	45	1.0000	1.0000	1.0000	21	21
VarDictJava	all	46	1.0000	1.0000	1.0000	9	9
VarDictJava	snv	46	1.0000	1.0000	1.0000	8	8
VarDictJava	all	47	0.9683	0.9385	0.9531	63	65
VarDictJava	snv	47	1.0000	1.0000	1.0000	52	52
VarDictJava	indel	47	0.8182	0.6923	0.7500	11	13
VarDictJava	all	48	0.9762	0.9545	0.9652	42	44
VarDictJava	snv	48	1.0000	1.0000	1.0000	36	38
VarDictJava	indel	48	0.8333	0.6667	0.7407	6	6
VarDictJava	all	49	0.9444	0.9444	0.9444	18	18
VarDictJava	snv	49	1.0000	1.0000	1.0000	16	16
VarDictJava	all	50	0.9672	0.9516	0.9593	61	62
VarDictJava	snv	50	1.0000	1.0000	1.0000	52	52
VarDictJava	indel	50	0.7778	0.7000	0.7368	9	10
VarDictJava	all	52	1.0000	0.7857	0.8800	11	14
VarDictJava	snv	52	1.0000	1.0000	1.0000	10	10
VarDictJava	all	54	1.0000	1.0000	1.0000	14	14
VarDictJava	snv	54	1.0000	1.0000	1.0000	14	14
VarDictJava	all	55	1.0000	1.0000	1.0000	21	21
VarDictJava	snv	55	1.0000	1.0000	1.0000	20	20
VarDictJava	all	56	0.9756	0.9524	0.9639	41	42
VarDictJava	snv	56	0.9737	0.9737	0.9737	38	38
VarDictJava	all	57	0.9773	0.9773	0.9773	44	44
VarDictJava	snv	57	0.9767	1.0000	0.9882	43	42
VarDictJava	all	58	0.9286	1.0000	0.9630	14	14
VarDictJava	snv	58	0.9167	1.0000	0.9565	12	13
VarDictJava	all	59	1.0000	0.8889	0.9412	8	9
VarDictJava	snv	59	1.0000	1.0000	1.0000	7	7
VarDictJava	all	60	0.9916	0.9833	0.9874	119	120
VarDictJava	snv	60	1.0000	1.0000	1.0000	113	113
VarDictJava	indel	60	0.8333	0.7143	0.7692	6	7
VarDictJava	all	61	0.9811	0.9576	0.9692	159	165
VarDictJava	snv	61	0.9931	0.9608	0.9767	144	153
VarDictJava	indel	61	0.8667	0.9167	0.8910	15	12
VarDictJava	all	62	0.9855	0.9720	0.9787	138	143
VarDictJava	snv	62	0.9923	0.9926	0.9925	130	136
VarDictJava	indel	62	0.8750	0.5714	0.6914	8	7
